AnomalyScore,AnomalyScore_normalized,CreateTime,CreateTimeUnix,EquipID,Recipe,EventDesc,SAW_ProductionStock_Z1,BladeOD_Z1,BladeThickness_Z1,FlangeODType_Z1,SAW_ProductionStock_Z2,BladeOD_Z2,BladeThickness_Z2,FlangeODType_Z2,ECID_4280,ECID_4290,ECID_6603,ECID_6611,ECID_6607,ECID_6615,ECID_4628,ECID_4629,ECID_6641,ECID_6640,ECID_6636,ECID_6637,ECID_6666,ECID_4204,ECID_4205,SVID_1404,SVID_1405,SVID_3223,SVID_1412,SVID_1413,SVID_1400,SVID_1401,SVID_1763,SVID_1765,SVID_1352,SVID_1353,SVID_1771,SVID_1775,SVID_1502,SVID_1503,SVID_1760,SVID_1759,SVID_1755,SVID_1756,SVID_1500,SVID_1501,SVID_1785,SVID_1764,SVID_1766
0.1556632258136152,0.7986253392729179,2025-06-01 21:32:52.090,1748813572,TSWD193,STM0022S_B,Kerf Check Start,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,3936,44280,293.0,23616,13776,492,492,800,630,199898,59944,0,0,780,630,132,202,141,208,49950,29970,214,49950,29970
0.15565842567582328,0.798610164356405,2025-06-06 00:33:42.267,1749170022,TSWD193,STM0022S_B,Kerf Check Start,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,984,984,293.0,26568,14760,-984,-1968,820,630,199898,206502,0,0,800,630,204,205,138,130,49950,29970,214,50000,29970
0.1556517811903642,0.7985891588110471,2025-06-05 13:07:41.937,1749128861,TSWD193,STM0022S_B,WaferUnloadEnd,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,984,11808,304.0,24600,15744,0,1476,800,630,199898,206502,0,0,780,610,203,204,139,204,50000,29970,214,50000,29950
0.1556517811903642,0.7985891588110471,2025-06-05 13:07:41.937,1749128861,TSWD193,STM0022S_B,WaferUnloadEnd,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,984,11808,304.0,24600,15744,0,1476,800,630,199898,206502,0,0,780,610,203,204,139,204,50000,29970,214,50000,29950
0.15563645158751888,0.7985406965682036,2025-06-01 21:16:10.607,1748812570,TSWD193,STM0022S_B,Kerf Check Start,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,2952,14760,296.0,22632,12792,984,0,760,630,199898,206502,0,0,800,630,204,205,141,129,50000,29950,214,49950,29970
0.1555989603020428,0.7984221734857997,2025-06-05 07:53:56.863,1749110036,TSWD193,ISL0591P_A_2,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,1968,984,299.0,28536,21648,0,-492,800,690,105156,64770,0,0,780,710,133,204,140,205,49950,40000,213,50000,40000
0.1555982270045117,0.7984198552755117,2025-06-03 01:33:53.130,1748914433,TSWD193,ISL0604P_C_1,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,1968,0,294.0,28536,19680,-984,-1476,760,710,105156,84836,0,0,800,710,206,204,139,129,49950,40000,506,50000,40000
0.15559429807744363,0.7984074345611848,2025-06-05 14:12:05.390,1749132725,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,984,4920,314.0,24600,15744,984,492,780,610,199898,59944,0,0,800,630,132,204,138,204,50000,29970,214,49950,29970
0.15558009533557143,0.798362534720491,2025-06-01 03:23:10.150,1748748190,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,984,7872,285.0,24600,14760,0,0,800,630,199898,206502,0,0,780,610,205,203,141,131,49950,29950,215,49950,29970
0.15556960194896108,0.7983293614507533,2025-06-01 09:36:31.603,1748770591,TSWD193,STM0022S_B,Kerf Check Start,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,1968,3936,313.0,23616,13776,492,1476,780,610,199898,206502,0,0,780,610,133,204,141,205,50000,29970,213,49950,29950
0.15556795560306708,0.7983241567748511,2025-06-01 12:59:38.013,1748782778,TSWD193,STM0022S_B,Kerf Check Start,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,984,2952,304.0,25584,14760,492,-984,780,630,199898,206502,0,0,780,630,205,202,140,205,49950,29950,214,49950,29950
0.15554898365997377,0.7982641798189785,2025-06-06 06:29:42.303,1749191382,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,1968,1968,296.0,25584,20664,1476,984,780,630,199898,206502,0,0,800,630,205,203,138,130,50000,29970,215,50000,29950
0.1555216898649493,0.7981778945749352,2025-06-02 23:49:37.493,1748908177,TSWD193,ISL0604P_C_1,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,984,0,293.0,29520,15744,-492,1476,780,710,105156,64770,0,0,800,710,204,203,140,130,49950,40000,505,50000,40000
0.1555074977901752,0.7981330284566741,2025-06-03 04:53:07.703,1748926387,TSWD193,ISL0604P_C_1,Kerf Check Start,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,1968,3936,307.0,21648,12792,1476,984,780,710,105156,84836,0,0,760,710,135,204,137,205,49950,40000,214,49950,40000
0.1554962822176182,0.7980975721042578,2025-06-04 17:50:22.523,1749059422,TSWD193,ISL0591P_A_1,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,4920,984,303.0,23616,21648,1476,492,800,710,105156,84836,0,0,800,710,204,203,140,207,50000,40000,214,50000,40000
0.15548840245067141,0.7980726614015359,2025-06-01 05:23:50.857,1748755430,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,2952,6888,305.0,23616,11808,-492,492,800,630,199898,59944,0,0,780,630,132,202,142,207,49950,29950,214,49950,29970
0.15541747593277605,0.7978484378408237,2025-06-01 06:38:49.620,1748759929,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,2952,16728,293.0,23616,14760,492,984,800,630,199898,206502,0,0,780,610,206,204,143,207,50000,29970,215,49950,29970
0.15537955930205116,0.7977285700931374,2025-06-01 05:43:17.307,1748756597,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,2952,16728,293.0,23616,19680,-492,-2460,780,630,199898,206502,0,0,820,610,131,205,142,204,49950,29970,214,49950,29970
0.1553785185113974,0.797725279789408,2025-06-04 21:52:15.080,1749073935,TSWD193,ISL0591P_A_1,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,2952,984,293.0,24600,20664,0,0,780,710,105156,84836,0,0,780,710,205,203,141,207,50000,40000,213,49950,40000
0.1553696056073398,0.7976971029784862,2025-06-03 09:24:45.270,1748942685,TSWD193,ISL0604P_C_1,Kerf Check Start,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,984,1968,294.0,29520,18696,1476,1968,800,710,105156,84836,0,0,780,710,204,204,140,130,49950,40000,504,49950,40000
0.15536935175786848,0.7976963004714122,2025-06-03 07:16:06.510,1748934966,TSWD193,ISL0604P_C_1,Kerf Check Start,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,2952,984,313.0,28536,18696,984,0,800,690,105156,84836,0,0,780,710,206,204,139,129,49950,40000,494,49950,40000
0.15536114798559425,0.7976703654743873,2025-06-02 16:04:08.653,1748880248,TSWD193,ISL0604P_C_1,Kerf Check Start,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,3936,0,283.0,28536,19680,0,-1476,780,710,105156,84836,0,0,780,710,204,203,140,131,49950,40000,505,50000,40000
0.15534996787832567,0.7976350212401673,2025-05-31 16:57:33.430,1748710653,TSWD193,STM0022S_B,Kerf Check End,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,1968,17712,282.0,23616,16728,492,2952,800,630,199898,206502,0,0,780,630,205,203,141,131,50000,29970,214,49950,29950
0.15533577151108124,0.7975901415519042,2025-06-04 02:55:24.507,1749005724,TSWD193,ISL0591P_A_1,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,1968,984,294.0,27552,18696,492,0,800,690,105156,64770,0,0,800,710,204,204,139,130,50000,40000,499,50000,40000
0.15530970131030375,0.7975077245177642,2025-06-04 21:04:00.320,1749071040,TSWD193,ISL0591P_A_1,Kerf Check End,SW00000109,2.1874,0.0012,Hub,SW00000150,2.1874,0.00096,Hub,50800000,50800000,1000.0,800.0,1000.0,800.0,3048,3048,-700.0,-700.0,-650.0,-700.0,200.0,50000,40000,3936,984,292.0,29520,21648,-492,492,800,710,105156,64770,0,0,780,710,132,204,141,204,50000,40000,214,49950,40000
0.15530383307823475,0.7974891729812073,2025-06-01 10:02:07.570,1748772127,TSWD193,STM0022S_B,Kerf Check Start,SW00000223,2.187,0.001,Hub,SW00000224,2.1874,0.001,Hub,29999940,29999940,1200.0,800.0,1200.0,800.0,5080,5080,-700.0,-700.0,-650.0,-700.0,200.0,50000,30000,2952,21648,293.0,23616,16728,492,-2952,800,630,199898,206502,0,0,800,630,132,202,142,206,49950,29970,214,49950,29950
